"transaction_id","user_id","income_bracket","monthly_income","date","merchant","category","amount","transaction_type"
TXN01743,USR_0029,Low,3299.73,"2023-01-27",Kroger,Groceries,142.45,debit
TXN00128,USR_0003,Low,2209.31,"2023-01-28",Target,Shopping,265.95,debit
TXN01512,USR_0008,High,10010.09,"2023-03-27",Hulu,Subscriptions,19.53,debit
TXN01378,USR_0044,Low,3369.7,"2023-06-17",Amazon Prime,Subscriptions,15.09,debit
TXN00173,USR_0029,Low,3299.73,"2023-02-21",AMC Theaters,Entertainment,88.08,debit
TXN00678,USR_0010,High,10506.62,"2023-12-23",Chipotle,Dining,51.77,debit
TXN01511,USR_0020,Low,3094.6,"2023-08-26",Hulu,Subscriptions,12.48,debit
TXN00059,USR_0045,High,11381.84,"2023-02-25",CVS Pharmacy,Healthcare,216.06,debit
TXN00342,USR_0034,High,11683.27,"2023-03-20",Target,Shopping,127.65,debit
TXN00288,USR_0031,High,11170.55,"2023-04-10",AT&T,Utilities,197.51,debit
TXN01103,USR_0012,High,8390.95,"2023-03-24",Nike,Shopping,234.71,debit
TXN00263,USR_0031,High,11170.55,"2023-08-15",Walmart,Shopping,129.66,debit
TXN00791,USR_0048,High,9294.26,"2023-01-25",LabCorp,Healthcare,125.9,debit
TXN01613,USR_0033,Low,3005.26,"2023-06-12",Verizon,Utilities,196.74,debit
TXN00748,USR_0020,Low,3094.6,"2023-08-04",Chick-fil-A,Dining,23.9,debit
TXN00559,USR_0018,Mid,4241.79,"2023-02-17",Verizon,Utilities,53.19,debit
TXN00883,USR_0035,High,7357.01,"2023-01-01",LabCorp,Healthcare,110.96,debit
TXN00387,USR_0046,Mid,4531.57,"2023-02-10",American Water,Utilities,144.96,debit
TXN00360,USR_0032,Low,2555.27,"2023-11-02",Steam,Entertainment,66.72,debit
TXN01456,USR_0024,High,11427.26,"2023-10-26",AMC Theaters,Entertainment,6.19,debit
TXN00359,USR_0016,Low,3435.82,"2023-04-21",Dominion Energy,Utilities,48.09,debit
TXN01304,USR_0030,Mid,4694.93,"2023-03-27",Apple Music,Subscriptions,10.71,debit
TXN00238,USR_0045,High,11381.84,"2023-05-17",Whole Foods,Groceries,60.09,debit
TXN00424,USR_0025,Mid,5443.38,"2023-08-18",Cigna,Healthcare,29.26,debit
TXN00489,USR_0044,Low,3369.7,"2023-07-14",Spotify,Subscriptions,13.41,debit
TXN00329,USR_0008,High,10010.09,"2023-01-14",Hulu,Subscriptions,13.73,debit
TXN00398,USR_0039,High,10440.81,"2023-02-24",Verizon,Utilities,112.7,debit
TXN01287,USR_0042,Low,3207.57,"2023-10-14",Chick-fil-A,Dining,54.65,debit
TXN00205,USR_0035,High,7357.01,"2023-03-11",Cigna,Healthcare,99.04,debit
TXN01598,USR_0012,High,8390.95,"2023-01-14",Trader Joe's,Groceries,79.34,debit
TXN01777,USR_0049,Mid,4349.08,"2023-06-03",Apple Music,Subscriptions,16.45,debit
TXN01382,USR_0008,High,10010.09,"2023-07-16",Steam,Entertainment,103.08,debit
TXN00702,USR_0046,Mid,4531.57,"2023-04-12",Walmart,Shopping,181.74,debit
TXN00207,USR_0010,High,10506.62,"2023-08-01",Panera Bread,Dining,48.1,debit
TXN01322,USR_0006,Mid,4079.46,"2023-04-21",ESPN+,Entertainment,97.42,debit
TXN00351,USR_0031,High,11170.55,"2023-08-26",Shell Gas,Transport,37.58,debit
TXN00587,USR_0040,Low,3026.92,"2023-11-08",Trader Joe's,Groceries,124.9,debit
TXN01242,USR_0040,Low,3026.92,"2023-04-23",McDonald's,Dining,27.7,debit
TXN01173,USR_0043,Mid,4669.35,"2023-03-06",Netflix,Subscriptions,8.87,debit
TXN01096,USR_0001,High,7556.66,"2023-11-15",Amazon,Shopping,300.84,debit
TXN01751,USR_0042,Low,3207.57,"2023-06-11",Aldi,Groceries,50.11,debit
TXN01682,USR_0031,High,11170.55,"2023-12-06",McDonald's,Dining,57.59,debit
TXN01042,USR_0021,High,7624.13,"2023-06-26",Trader Joe's,Groceries,42.93,debit
TXN00834,USR_0029,Low,3299.73,"2023-07-15",CVS Pharmacy,Healthcare,123.76,debit
TXN00566,USR_0024,High,11427.26,"2023-06-03",Hulu,Subscriptions,17.05,debit
TXN00906,USR_0046,Mid,4531.57,"2023-02-05",Chick-fil-A,Dining,24.91,debit
TXN01726,USR_0047,Mid,4989.08,"2023-08-10",ESPN+,Entertainment,109.75,debit
TXN01449,USR_0039,High,10440.81,"2023-05-14",Netflix,Subscriptions,9.21,debit
TXN01467,USR_0017,Mid,4255.53,"2023-11-10",Nike,Shopping,116.42,debit
TXN00003,USR_0008,High,10010.09,"2023-03-20",Hulu,Subscriptions,14.75,debit
TXN01484,USR_0016,Low,3435.82,"2023-07-24",Chipotle,Dining,64.66,debit
TXN01248,USR_0011,Mid,4551.1,"2023-01-09",AMC Theaters,Entertainment,5.73,debit
TXN00563,USR_0015,Mid,4694.68,"2023-09-23",AMC Theaters,Entertainment,5.93,debit
TXN01110,USR_0039,High,10440.81,"2023-12-28",Best Buy,Shopping,217.01,debit
TXN01536,USR_0040,Low,3026.92,"2023-02-22",Publix,Groceries,32.39,debit
TXN01122,USR_0004,Low,3015.05,"2023-09-24",Nike,Shopping,256.49,debit
TXN01579,USR_0032,Low,2555.27,"2023-01-02",Chick-fil-A,Dining,29.41,debit
TXN00508,USR_0003,Low,2209.31,"2023-10-16",UnitedHealth,Healthcare,241.77,debit
TXN01577,USR_0010,High,10506.62,"2023-10-29",CVS Pharmacy,Healthcare,234.84,debit
TXN00276,USR_0043,Mid,4669.35,"2023-03-14",Verizon,Utilities,194.83,debit
TXN01029,USR_0050,High,9806.84,"2023-06-21",American Water,Utilities,106.64,debit
TXN01310,USR_0032,Low,2555.27,"2023-03-16",Steam,Entertainment,22.95,debit
TXN01529,USR_0032,Low,2555.27,"2023-06-05",Lyft,Transport,34.74,debit
TXN01234,USR_0029,Low,3299.73,"2023-01-09",Trader Joe's,Groceries,24.25,debit
TXN00986,USR_0011,Mid,4551.1,"2023-05-22",Panera Bread,Dining,60.24,debit
TXN01039,USR_0048,High,9294.26,"2023-09-26",Lyft,Transport,7.08,debit
TXN00557,USR_0030,Mid,4694.93,"2023-01-09",McDonald's,Dining,74.43,debit
TXN01134,USR_0046,Mid,4531.57,"2023-09-25",Chipotle,Dining,26.77,debit
TXN00427,USR_0020,Low,3094.6,"2023-08-26",LabCorp,Healthcare,101.03,debit
TXN00529,USR_0027,High,8139.49,"2023-11-02",Apple Music,Subscriptions,11.99,debit
TXN00472,USR_0005,High,7434.69,"2023-12-17",Nike,Shopping,201.59,debit
TXN01769,USR_0009,High,7994.19,"2023-02-16",Apple Music,Subscriptions,14.14,debit
TXN01217,USR_0004,Low,3015.05,"2023-05-13",Target,Shopping,343.0,debit
TXN00201,USR_0041,Low,2343.57,"2023-07-10",McDonald's,Dining,48.37,debit
TXN00603,USR_0024,High,11427.26,"2023-04-13",Nike,Shopping,276.73,debit
TXN00195,USR_0009,High,7994.19,"2023-10-04",AT&T,Utilities,120.29,debit
TXN00038,USR_0037,High,8224.05,"2023-09-25",Verizon,Utilities,72.68,debit
TXN01188,USR_0019,Mid,5509.32,"2023-05-29",Netflix,Subscriptions,14.77,debit
TXN01252,USR_0039,High,10440.81,"2023-04-03",Xbox Game Pass,Entertainment,114.28,debit
TXN00888,USR_0017,Mid,4255.53,"2023-04-07",Kroger,Groceries,110.37,debit
TXN01011,USR_0007,Low,2327.96,"2023-02-21",EZPass Toll,Transport,24.96,debit
TXN00631,USR_0018,Mid,4241.79,"2023-05-24",Ticketmaster,Entertainment,8.98,debit
TXN01167,USR_0038,Mid,4948.64,"2023-01-05",Walgreens,Healthcare,214.6,debit
TXN01332,USR_0042,Low,3207.57,"2023-05-06",Kroger,Groceries,141.18,debit
